time,open,high,low,close,BOS Demand,CHOCH Demand,BOS Supply,CHOCH Supply,New Demand Zone,New Supply Zone,Zone Mitigated,Zone Broken,Volume Spike,Bullish Sweep,Bearish Sweep,Bullish Confirmation,Bearish Confirmation,ATR Short Stop Loss,ATR Long Stop Loss,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross,CVD,Signal
1727215200,20184.25,20192.5,20116.75,20125.75,0,0,0,0,0,0,0,0,0,0,0,0,1,20362.83993423441,19946.41006576559,113.55995615627322,42857,182621.3971844318,378755.39366497146,1134.212755996692,0,0,0,0,-33097.485148514854,32741.545257981015
1727229600,20125.25,20142,20088.25,20098.25,0,0,0,0,1,1,0,0,0,0,0,0,1,20305.931724646238,19924.318275353762,109.28781643082513,41890,135710.93145628786,273932.0957766477,-2077.4246220604327,0,0,0,1,-54139.903753166014,24467.12154263368
1727244000,20098.5,20115.75,20063.75,20108.75,0,0,0,0,0,0,0,0,0,0,0,1,0,20273.543744314364,19905.956255685636,105.19582954290904,68157,113192.95430419191,203566.3971844318,-1437.9946365981941,0,0,0,0,-40705.11048393525,18260.242302008068
1727258400,20108.75,20233.75,20108,20232.25,1,0,0,0,0,0,1,1,0,0,0,1,0,20393.745976863338,19948.004023136662,106.66398457555839,206164,144183.30286946127,169789.43145628786,16877.660540391145,0,0,1,0,161770.07043057767,31927.844980919457
1727272800,20231.5,20272.75,20135.5,20200.5,0,0,0,0,0,0,0,0,1,0,1,0,1,20436.023049944528,19972.226950055472,108.8486999630185,521371,269912.5352463075,216274.95430419192,1566.75384645339,0,0,0,0,44010.50030307312,33078.574059219805
1727287200,20200.25,20246,20145.25,20241.5,0,0,0,0,0,0,0,0,0,0,0,1,0,20408.405332091348,19982.844667908652,108.27022139423147,156064,231963.02349753835,404868.80286946124,6162.037128360849,0,0,0,0,107907.67151895401,40205.154769670684
1727301600,20241.75,20322.5,20229,20318,0,0,0,0,0,0,0,0,0,0,0,1,0,20483.322808370536,20068.177191629464,107.21520558035779,53479,172468.3489983589,347944.5352463075,7957.464094426756,0,0,0,0,43612.55347593583,40529.66893217213
1727316000,20317.75,20421.5,20310,20418.25,0,0,0,0,0,0,0,0,0,0,0,1,0,20582.78189348693,20148.71810651307,107.52126232461795,56460,133798.8993322393,258702.52349753835,10050.512273969754,0,0,0,0,94502.5086328865,45669.939379859214
1727330400,20418,20500,20417.5,20468.5,0,0,0,0,0,0,0,0,0,0,0,1,0,20658.601043952145,20258.898956047855,105.73402930143095,93010,120202.5995548262,200698.34899835894,12255.547431744919,0,0,0,0,151435.90257228044,55742.888255327896
1727344800,20469,20537.75,20405,20427.25,0,0,0,0,0,0,0,0,0,0,0,0,1,20699.24561224128,20243.50438775872,107.66374149418587,254889,165098.06636988412,180303.8993322393,1070.4223686804562,0,0,0,0,71273.07206380586,57221.95337994485
1727359200,20427.5,20438,20188,20274,0,0,0,0,0,0,0,0,1,0,0,0,1,20614.745925652616,20011.254074347384,117.83061710174402,671259,333818.37757992273,247647.09955482619,-39289.14334406314,0,0,0,1,-340879.9539361942,19307.48601650304
1727373600,20274.25,20362.25,20273.5,20346,0,0,0,0,0,0,0,0,0,0,0,1,0,20535.88014524886,20099.86985475114,115.75343016590516,175865,281167.2517199485,500727.56636988407,-19772.131261131548,0,0,0,0,-198701.77083760264,-1455.300350554644
1727388000,20344.5,20382,20296,20299,0,0,0,0,0,1,0,0,0,0,0,0,1,20552.442277731083,20125.557722268917,113.62818515405479,53732,205355.50114663233,421750.87757992273,-19771.577859206358,0,0,0,0,-28427.976744186046,-4024.1266737576343
1727402400,20299,20358.75,20278,20319.25,0,0,0,0,0,0,0,0,0,0,0,1,0,20525.669615036004,20111.080384963996,111.27974335733659,58125,156278.66743108822,308033.2517199485,-15587.65295817644,0,0,0,0,-13851.738354093166,-4960.0896909324465
1727416800,20320,20333,20236.5,20305.5,0,0,0,0,0,0,0,0,0,0,0,0,1,20498.336071104863,20071.163928895137,110.22404740324112,102066,138207.77828739214,234418.00114663233,-14881.819953894175,1,0,0,0,-29188.08032300508,-7267.517370177459
1727431200,20306.75,20396,20281.75,20328,0,0,0,0,0,0,0,0,0,0,0,1,0,20561.7674231688,20115.9825768312,110.51161544586674,230991,169135.51885826144,207311.66743108822,-8717.989677640342,0,0,0,0,13775.234775463192,-5263.445737259302
1727445600,20329,20375.75,20210,20280,0,0,0,0,0,0,0,0,1,0,0,0,1,20547.435821513885,20038.314178486115,114.45721434259055,542561,293610.67923884094,253703.27828739217,-22762.95517862193,0,0,0,0,-146619.87231352623,-18725.96255404663
1727460000,20279.75,20293.5,20173,20194,0,0,0,0,0,0,0,0,0,0,0,0,1,20465.833262834323,20000.666737165677,114.88884188954837,237463,274894.7861592273,440416.0188582614,-34863.54501062131,0,0,0,0,-315602.8785375926,-46999.954552479576
1727647200,20198.25,20286.5,20157.5,20191.5,0,0,0,0,0,0,0,0,0,0,0,0,1,20460.34517263187,19983.65482736813,115.89678175458063,78321,209370.19077281823,412342.17923884094,-28974.76793694545,0,0,0,0,-4098.191860465116,-42914.07239133534
1727661600,20192.25,20226.25,20152.75,20173.5,0,0,0,0,0,0,0,0,0,0,0,0,1,20395.552660301022,19983.447339698978,112.86844020068202,57168,158636.12718187884,314055.28615922737,-24957.989636692364,1,0,0,0,-18681.865329852873,-40606.24314738463
1727676000,20173.25,20247.75,20145.75,20204.25,0,0,0,0,0,0,0,0,0,0,0,1,0,20415.888184565236,19977.611815434764,112.09212304349045,82117,133129.7514545859,237954.19077281826,-17789.196206661065,1,0,0,0,6275.262121127518,-36141.337883716806
1727690400,20203.5,20264,20118,20203.75,0,0,0,0,0,0,0,0,0,0,0,0,0,20435.771171382006,19946.228828617994,114.5141142546697,210514,158924.50096972394,199694.62718187884,-14134.261404528557,1,0,0,0,6635.73129920971,-32067.33129486666
1727704800,20205,20254.5,20127.5,20205.5,0,0,0,0,0,0,0,0,1,0,0,1,0,20427.608944854717,19954.391055145283,115.40596323647901,504331,274060.00064648263,238386.75145458593,-10902.900475840901,0,0,0,0,8621.286417319947,-28192.224846086985
1727719200,20206.25,20286.75,20057.5,20233.5,0,0,0,0,0,0,0,0,0,0,0,1,0,20472.05652022224,19872.19347977776,123.53768014815908,380331,309483.66709765507,411090.0009697239,-4126.035094621557,0,0,0,0,53829.66046312147,-20380.616721400467
1727733600,20232,20331.5,20213.25,20327.75,0,0,0,0,0,0,0,0,0,0,0,1,0,20516.239983063508,20028.510016936492,123.15998870900486,56094,225020.44473177005,464225.5006464826,1448.0833280620245,0,0,1,0,45420.72304439746,-14113.822457991142
1727748000,20328.25,20331,20233.25,20252,0,0,0,0,0,0,0,0,0,0,0,0,1,20513.017484273256,20051.232515726744,121.34498951550451,53094,167711.62982118005,337530.66709765507,-2186.567971199953,0,0,0,1,4004.6872387708645,-12388.25010591857
